female	male	year	age
1.5900037936	1.8192997087	1994	60~65
1.2880424163	1.7676845183	1994	65~70
0.9298336556	1.1690927994	1994	70~75
0.5753504814	0.6336518954	1994	75~80
0.3584165247	0.3321060462	1994	80~85
0.1434563262	0.101091356	1994	85~90
0.0494431122	0.0291341803	1994	90+
3.5658829941	3.8811034904	1995	0~5
3.5993467566	3.8985540911	1995	5~10
4.2729998753	4.5494048418	1995	10~15
4.5711209368	4.8323274461	1995	15~20
4.0663458072	4.2659812409	1995	20~25
4.3012710658	4.5060382028	1995	25~30
4.4901327318	4.6794017501	1995	30~35
4.2750881415	4.4262392794	1995	35~40
3.848487208	3.9719196564	1995	40~45
2.5828434141	2.6640750941	1995	45~50
1.9744134957	1.9978058223	1995	50~55
1.9187466882	1.8747385863	1995	55~60
1.615929369	1.7328629085	1995	60~65
1.3259178972	1.781543857	1995	65~70
0.9616184643	1.2396107004	1995	70~75
0.5987611525	0.6697575191	1995	75~80
0.3662004105	0.3481879445	1995	80~85
0.1517598254	0.1091002003	1995	85~90
0.0525578193	0.0319233151	1995	90+
3.5426372143	3.8485033031	1996	0~5
3.5891217612	3.9153823294	1996	5~10
3.9941403269	4.2574521033	1996	10~15
4.5146641185	4.7748540064	1996	15~20
4.1325765665	4.3449021444	1996	20~25
4.2014857494	4.3981786569	1996	25~30
4.4497316268	4.6293888722	1996	30~35
4.2845316979	4.4363474593	1996	35~40
3.8965998965	4.0200770874	1996	40~45
2.9234301582	3.0020627227	1996	45~50
1.9115573657	1.9306185385	1996	50~55
1.9482442002	1.8997620164	1996	55~60
1.63321221	1.6618899141	1996	60~65
1.3548020149	1.7646149093	1996	65~70
0.9885329601	1.2903387356	1996	70~75
0.6395922442	0.7235487435	1996	75~80
0.3672492906	0.3583110268	1996	80~85
0.1623289065	0.1166666427	1996	85~90
0.0575458807	0.035116599	1996	90+
3.5281678108	3.8264180604	1997	0~5
3.5749418831	3.9080588231	1997	5~10
3.7540171316	4.0102535021	1997	10~15
4.4969982038	4.757797001	1997	15~20
4.152935119	4.3628573393	1997	20~25
4.1474298521	4.3274157463	1997	25~30
4.3327646397	4.5094114998	1997	30~35
4.3258934043	4.4858037011	1997	35~40
3.9275227242	4.0423284658	1997	40~45
3.1612098066	3.2429241568	1997	45~50
1.9412389794	1.9614341565	1997	50~55
1.9537442599	1.905434048	1997	55~60
1.6691398975	1.6357679537	1997	60~65
1.382594664	1.7123909669	1997	65~70
1.0204474444	1.3435702783	1997	70~75
0.6732292944	0.7721585269	1997	75~80
0.3747628814	0.3636373671	1997	80~85
0.17635251	0.1378708323	1997	85~90
0.061997492	0.0390795764	1997	90+
3.3797702734	3.6698801122	1998	0~5
3.516099142	3.8426591111	1998	5~10
3.6445615681	3.9064890216	1998	10~15
4.4086735897	4.6629443725	1998	15~20
4.2318861253	4.4338325249	1998	20~25
4.0680315484	4.2354066433	1998	25~30
4.2566528784	4.4284286209	1998	30~35
4.3542788499	4.5102533036	1998	35~40
3.9945977377	4.104486239	1998	40~45
3.3607540038	3.435779344	1998	45~50
2.0301988395	2.0521017515	1998	50~55
1.9644216995	1.9206660382	1998	55~60
1.7013359408	1.6306930071	1998	60~65
1.403829366	1.6412271997	1998	65~70
1.0683586556	1.4082072122	1998	70~75
0.7047694036	0.8163953626	1998	75~80
0.3851501449	0.3783690434	1998	80~85
0.188069539	0.1529282023	1998	85~90
0.0657360977	0.0420774869	1998	90+
3.2695335276	3.5528211596	1999	0~5
3.5149981756	3.8417351642	1999	5~10
3.4943530547	3.757452737	1999	10~15
